Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,1,La Pampa,8003.0,58978.0,21739.0,19903.0,1109.0,109560,172.0,91.663,30.2
2022,1,La Rioja,9103.0,59228.0,9546.0,6395.0,31.0,84299,4.0,78.775,20.969
2022,1,Mendoza,49464.0,74145.0,123228.0,26969.0,1379.0,274399,786.0,48.735,13.599
2022,1,Misiones,39147.0,91752.0,25178.0,7807.0,7624.0,171508,0.0,49.043,13.358
2022,1,Neuquén,28443.0,73200.0,24193.0,23098.0,745.0,149208,471.0,74.173,22.077
2022,1,Río Negro,38662.0,45366.0,38037.0,16815.0,18494.0,156821,553.0,67.036,20.618
2022,1,Salta,44714.0,98667.0,40994.0,5950.0,7190.0,197510,5.0,56.108,13.588
2022,1,San Juan,34038.0,14449.0,11294.0,20723.0,7674.0,87888,290.0,43.546,11.092
2022,1,San Luis,7987.0,11296.0,31.0,71809.0,28721.0,119659,185.0,80.724,23.102
2022,1,Santa Cruz,10537.0,23420.0,10766.0,3974.0,405.0,48898,204.0,43.338,12.894
2022,1,Santa Fe,213486.0,444609.0,146552.0,45261.0,20571.0,870364,115.0,77.305,24.307
2022,1,Santiago Del Estero,18118.0,87979.0,1093.0,6349.0,2922.0,116459,2.0,47.173,11.707
2022,1,Tierra Del Fuego,13031.0,38700.0,416.0,124.0,340.0,52298,313.0,98.291,29.139
2022,1,Tucumán,92532.0,62396.0,86174.0,3995.0,487.0,245554,30.0,57.39,14.216
2021,4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4502772,6385.0,75.664,25.363
2021,4,Capital Federal,111360.0,1205128.0,60005.0,5679.0,29947.0,1409935,2184.0,111.27,45.849
2021,4,Catamarca,16385.0,13858.0,25100.0,1512.0,2235.0,59089,1.0,55.253,14.054
2021,4,Chaco,35548.0,63145.0,34688.0,8005.0,2359.0,143740,5.0,44.049,11.772
2021,4,Chubut,46361.0,57412.0,9655.0,28041.0,18839.0,159364,944.0,82.573,25.309
2021,4,Córdoba,212011.0,487489.0,217214.0,61277.0,8779.0,986693,77.0,84.509,25.873
2021,4,Corrientes,42523.0,71183.0,10138.0,6778.0,5290.0,135908,4.0,45.51,11.983
2021,4,Entre Ríos,70459.0,133387.0,23452.0,25022.0,12726.0,265024,22.0,63.155,18.882
2021,4,Formosa,17211.0,15111.0,5151.0,16018.0,172.0,53663,0.0,34.455,8.769
2021,4,Jujuy,22330.0,60511.0,24156.0,2927.0,3991.0,113915,0.0,56.921,14.555
2021,4,La Pampa,8175.0,58000.0,20192.0,19286.0,1354.0,106834,173.0,89.567,29.51
2021,4,La Rioja,10387.0,56651.0,9446.0,6613.0,31.0,83124,4.0,77.923,20.742
2021,4,Mendoza,59842.0,71553.0,109667.0,24666.0,1859.0,266783,804.0,47.505,13.256
2021,4,Misiones,41778.0,92068.0,22035.0,7649.0,7602.0,171132,0.0,49.065,13.363
2021,4,Neuquén,29175.0,72761.0,23253.0,21531.0,746.0,146989,477.0,73.3,21.818
2021,4,Río Negro,42037.0,44495.0,32212.0,16558.0,18451.0,153189,564.0,65.695,20.206
2021,4,Salta,46972.0,99808.0,39555.0,5882.0,7188.0,199399,6.0,56.814,13.759
2021,4,San Juan,35868.0,13102.0,11072.0,11423.0,8493.0,79667,291.0,39.589,10.084
2021,4,San Luis,8472.0,11064.0,30.0,70560.0,28723.0,118662,187.0,80.296,22.979
2021,4,Santa Cruz,10790.0,22902.0,10031.0,4346.0,417.0,48276,210.0,43.051,12.809
2021,4,Santa Fe,233427.0,444373.0,128856.0,43556.0,16229.0,866265,176.0,77.089,24.24
2021,4,Santiago Del Estero,19032.0,86563.0,1088.0,6256.0,2922.0,115859,2.0,47.046,11.675
2021,4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52042,315.0,98.401,29.171
2021,4,Tucumán,97830.0,59022.0,78790.0,2511.0,486.0,238609,30.0,55.926,13.853
2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4246425,5184.0,71.682,23.97
2021,3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1411797,1608.0,111.271,45.9
2021,3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56253,1.0,52.71,13.407
2021,3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139868,3.0,42.962,11.482
2021,3,Chubut,49269.0,55794.0,8946.0,23376.0,18681.0,155266,800.0,80.71,24.738
2021,3,Córdoba,229275.0,477223.0,167495.0,57617.0,15178.0,946726,62.0,81.285,24.886
2021,3,Corrientes,44805.0,69403.0,7542.0,6766.0,5303.0,133816,3.0,44.901,11.823
2021,3,Entre Ríos,74443.0,128752.0,20485.0,23500.0,13195.0,260360,15.0,62.179,18.591
2021,3,Formosa,18093.0,14111.0,4730.0,15690.0,171.0,52795,0.0,33.962,8.644
2021,3,Jujuy,23554.0,60758.0,19926.0,2952.0,3968.0,111158,0.0,55.689,14.24
2021,3,La Pampa,9015.0,57881.0,17817.0,14479.0,1295.0,100371,116.0,84.28,27.768
2021,3,La Rioja,11329.0,54744.0,9444.0,6613.0,30.0,82157,3.0,77.26,20.566
2021,3,Mendoza,91474.0,71247.0,70579.0,21811.0,828.0,255320,619.0,45.548,12.71
2021,3,Misiones,43230.0,89469.0,10969.0,7198.0,7662.0,158528,0.0,45.571,12.412
2021,3,Neuquén,29650.0,73794.0,16455.0,19270.0,640.0,139436,373.0,69.707,20.748
2021,3,Río Negro,47934.0,44519.0,18725.0,15031.0,18376.0,144084,501.0,61.967,19.059
2021,3,Salta,49212.0,98318.0,36126.0,5724.0,6453.0,195831,2.0,55.964,13.554
2021,3,San Juan,40072.0,12922.0,6670.0,11372.0,8447.0,79227,256.0,39.455,10.05
